row_id,vehicle_count,traffic_density,average_speed,road_length,hour,day_of_week,weather,road_capacity,congestion_score,congestion_level
0,497,78.27,41.1,6.35,6,3,storm,1930,27.1,medium
1,418,643.08,40.6,0.65,20,3,clear,930,43.33,medium
2,463,841.82,36.2,0.55,20,0,clear,821,50.37,high
3,1310,1541.18,35.7,0.85,18,3,clear,2328,55.33,high
4,1818,323.49,21.9,5.62,20,1,rain,2190,72.39,high
5,580,121.85,41.4,4.76,3,1,clear,1929,26.17,medium
6,484,101.26,38.7,4.78,3,5,rain,1255,38.7,medium
7,806,313.62,15.1,2.57,23,1,storm,1179,68.25,high
8,1500,555.56,34.8,2.7,6,0,rain,2827,52.54,high
9,1501,387.86,31.9,3.87,8,3,fog,2663,49.01,medium
10,932,230.69,42.3,4.04,4,2,clear,2370,37.82,medium
11,299,80.59,43.9,3.71,13,6,clear,1006,33.03,medium
12,519,84.12,50.1,6.17,3,5,clear,2478,21.62,low
13,1216,169.12,35.6,7.19,5,3,rain,2163,52.25,high
14,383,71.46,51.5,5.36,6,5,clear,2200,24.22,low
15,1291,275.27,38.7,4.69,9,3,clear,2431,47.71,medium
16,711,269.32,41.0,2.64,11,5,rain,2436,29.16,medium
17,963,207.1,42.3,4.65,1,4,clear,2495,36.54,medium
18,566,173.62,43.5,3.26,23,2,clear,1093,40.98,medium
19,931,188.84,41.0,4.93,0,0,clear,2594,34.9,medium
20,741,217.94,38.3,3.4,6,3,fog,2759,32.9,medium
21,339,146.75,52.7,2.31,15,0,clear,1680,20.9,low
22,1642,237.28,25.7,6.92,8,0,clear,1954,79.39,severe
23,1020,387.83,26.2,2.63,15,5,fog,2684,40.29,medium
24,1111,377.89,20.7,2.94,8,3,rain,1197,87.91,severe
25,1065,457.08,36.7,2.33,11,2,clear,1845,53.42,high
26,721,135.02,43.1,5.34,21,2,clear,1597,40.03,medium
27,151,18.97,41.2,7.96,3,2,rain,816,21.38,low
28,870,116.62,35.1,7.46,5,2,rain,1860,41.8,medium
29,155,46.97,56.6,3.3,22,0,clear,927,12.06,low
30,915,590.32,45.4,1.55,2,5,clear,2486,37.4,medium
31,516,78.42,44.6,6.58,15,6,clear,1337,38.2,medium
32,195,221.59,59.5,0.88,3,4,clear,1199,6.83,low
33,1304,1650.63,30.3,0.79,21,1,fog,2515,43.62,medium
34,722,340.57,42.6,2.12,4,0,rain,2395,29.98,medium
35,290,37.32,45.2,7.77,14,2,clear,1068,18.45,low
36,516,464.86,35.4,1.11,22,1,clear,916,45.54,medium
